Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2019-10-23,27-119,UTA,,OKC,W (+5),1,37:55:00,3,6,.500,0,0,,1,3,.333,3,11,14,0,0,1,4,5,7,3.3,+13
2,2,2019-10-25,27-121,UTA,@,LAL,L (-9),1,32:24:00,4,8,.500,0,0,,0,1,.000,0,9,9,3,2,0,3,3,8,6.2,-2
3,3,2019-10-26,27-122,UTA,,SAC,W (+32),1,25:03:00,3,3,1.000,0,0,,0,0,,1,5,6,2,0,1,4,3,6,4.2,+16
4,4,2019-10-28,27-124,UTA,@,PHO,W (+1),1,35:32:00,2,4,.500,0,0,,11,12,.917,2,16,18,1,3,1,5,3,15,17.0,+13
5,5,2019-10-30,27-126,UTA,,LAC,W (+14),1,32:38:00,5,7,.714,0,0,,3,8,.375,0,7,7,0,1,2,1,3,13,10.4,+3
6,6,2019-11-01,27-128,UTA,@,SAC,L (-1),1,38:00:00,5,6,.833,0,0,,5,7,.714,5,11,16,0,1,3,3,2,15,18.1,-7
7,7,2019-11-03,27-130,UTA,@,LAC,L (-11),1,34:03:00,4,8,.500,0,0,,4,6,.667,2,12,14,0,0,0,0,4,12,10.6,+3
8,8,2019-11-06,27-133,UTA,,PHI,W (+2),1,36:08:00,4,8,.500,0,0,,6,8,.750,4,12,16,3,3,1,0,6,14,19.0,+9
9,9,2019-11-08,27-135,UTA,,MIL,W (+3),1,36:31:00,1,2,.500,0,0,,6,10,.600,3,14,17,0,0,1,3,5,8,7.4,+4
10,10,2019-11-11,27-138,UTA,@,GSW,W (+14),1,34:30:00,11,12,.917,0,0,,3,9,.333,2,12,14,1,1,2,0,3,25,25.5,+15
11,11,2019-11-12,27-139,UTA,,BRK,W (+5),1,37:33:00,8,10,.800,0,0,,2,4,.500,4,11,15,2,2,2,2,2,18,21.5,0
12,12,2019-11-15,27-142,UTA,@,MEM,L (-1),1,36:29:00,9,11,.818,0,0,,5,7,.714,7,10,17,1,0,5,3,1,23,26.8,+10
13,13,2019-11-18,27-145,UTA,,MIN,L (-10),1,36:12:00,5,8,.625,0,0,,6,7,.857,5,9,14,1,1,1,2,5,16,16.6,-10
14,14,2019-11-20,27-147,UTA,@,MIN,W (+8),1,35:20:00,5,8,.625,0,0,,2,3,.667,3,12,15,1,0,5,3,3,12,13.7,+9
15,15,2019-11-22,27-149,UTA,,GSW,W (+4),1,34:33:00,3,8,.375,0,0,,2,2,1.000,5,14,19,1,1,7,3,2,8,14.1,+1
16,,2019-11-23,27-150,UTA,,NOP,W (+8),Did Not Play,,,,,,,,,,,,,,,,,,,,,
17,,2019-11-25,27-152,UTA,@,MIL,L (-4),Inactive,,,,,,,,,,,,,,,,,,,,,
18,16,2019-11-27,27-154,UTA,@,IND,L (-19),1,30:18:00,5,9,.556,0,0,,4,6,.667,5,8,13,0,1,1,2,5,14,12.5,-13
19,17,2019-11-29,27-156,UTA,@,MEM,W (+9),1,35:53:00,6,11,.545,0,0,,1,2,.500,4,9,13,3,0,2,0,1,13,15.9,+14
20,18,2019-12-01,27-158,UTA,@,TOR,L (-20),1,28:25:00,4,7,.571,0,0,,4,8,.500,4,7,11,1,0,1,3,2,12,9.6,-21
21,19,2019-12-02,27-159,UTA,@,PHI,L (-9),1,36:27:00,11,15,.733,0,0,,5,10,.500,5,7,12,2,0,3,1,2,27,26.2,-3
22,20,2019-12-04,27-161,UTA,,LAL,L (-25),1,27:01:00,6,8,.750,0,0,,1,3,.333,4,6,10,2,1,0,2,3,13,12.8,-8
